pump_combination                                                                                  , target_q, prevalence, power , pump      , speed , q  , pump_power
"{""grundfos_1"": 2358.0}"                                                                        ,       81,      64.01,  25.22, grundfos_1, 2358.0,  81,      25.22
"{""grundfos_1"": 2483.0}"                                                                        ,      146,      64.02,  36.4 , grundfos_1, 2483.0, 146,      36.4
"{""grundfos_3"": 2322.0}"                                                                        ,       42,      64.03,  19.87, grundfos_3, 2322.0,  42,      19.87
"{""grundfos_1"": 2715.0}"                                                                        ,      213,      64.01,  50.97, grundfos_1, 2715.0, 213,      50.97
"{""grundfos_3"": 2326.0}"                                                                        ,       48,      64.0 ,  20.57, grundfos_3, 2326.0,  48,      20.57
"{""grundfos_1"": 2426.0}"                                                                        ,      122,      64.05,  32.07, grundfos_1, 2426.0, 122,      32.07
"{""grundfos_1"": 2489.0}"                                                                        ,      148,      64.05,  36.8 , grundfos_1, 2489.0, 148,      36.8
"{""grundfos_1"": 2413.0}"                                                                        ,      116,      64.01,  31.0 , grundfos_1, 2413.0, 116,      31.0
"{""grundfos_1"": 2514.0}"                                                                        ,      157,      64.02,  38.51, grundfos_1, 2514.0, 157,      38.51
"{""grundfos_1"": 2647.0}"                                                                        ,      196,      64.03,  46.83, grundfos_1, 2647.0, 196,      46.83
"{""grundfos_1"": 2908.0}"                                                                        ,      255,      64.04,  62.89, grundfos_1, 2908.0, 255,      62.89
"{""grundfos_1"": 2383.0}"                                                                        ,       99,      64.01,  28.12, grundfos_1, 2383.0,  99,      28.12
"{""grundfos_1"": 2953.0}"                                                                        ,      264,      64.02,  65.74, grundfos_1, 2953.0, 264,      65.74
"{""grundfos_1"": 2785.0}"                                                                        ,      229,      64.05,  55.25, grundfos_1, 2785.0, 229,      55.25
"{""grundfos_3"": 2317.0}"                                                                        ,       35,      64.03,  19.11, grundfos_3, 2317.0,  35,      19.11
"{""grundfos_1"": 2467.0}"                                                                        ,      140,      64.0 ,  35.28, grundfos_1, 2467.0, 140,      35.28
"{""grundfos_1"": 2719.0}"                                                                        ,      214,      64.0 ,  51.22, grundfos_1, 2719.0, 214,      51.22
{}                                                                                                ,      272,           ,       ,           ,       ,    ,        
"{""grundfos_1"": 2545.0}"                                                                        ,      167,      64.03,  40.51, grundfos_1, 2545.0, 167,      40.51
"{""grundfos_1"": 2523.0}"                                                                        ,      160,      64.02,  39.1 , grundfos_1, 2523.0, 160,      39.1
"{""grundfos_1"": 2346.0}"                                                                        ,       70,      64.02,  23.57, grundfos_1, 2346.0,  70,      23.57
"{""grundfos_1"": 2419.0}"                                                                        ,      119,      64.01,  31.52, grundfos_1, 2419.0, 119,      31.52
"{""grundfos_1"": 2555.0}"                                                                        ,      170,      64.05,  41.14, grundfos_1, 2555.0, 170,      41.14
"{""grundfos_1"": 2699.0}"                                                                        ,      209,      64.05,  49.99, grundfos_1, 2699.0, 209,      49.99
"{""grundfos_1"": 2460.0}"                                                                        ,      137,      64.03,  34.74, grundfos_1, 2460.0, 137,      34.74
"{""grundfos_1"": 2933.0}"                                                                        ,      260,      64.05,  64.47, grundfos_1, 2933.0, 260,      64.47
"{""grundfos_3"": 2293.0}"                                                                        ,        3,      64.03,  16.38, grundfos_3, 2293.0,   3,      16.38
"{""grundfos_1"": 2356.0}"                                                                        ,       79,      64.03,  24.92, grundfos_1, 2356.0,  79,      24.92
"{""grundfos_1"": 2732.0}"                                                                        ,      217,      64.02,  52.01, grundfos_1, 2732.0, 217,      52.01
"{""grundfos_1"": 2406.0}"                                                                        ,      112,      64.04,  30.33, grundfos_1, 2406.0, 112,      30.33
"{""grundfos_1"": 2758.0}"                                                                        ,      223,      64.02,  53.59, grundfos_1, 2758.0, 223,      53.59
"{""grundfos_1"": 2398.0}"                                                                        ,      108,      64.0 ,  29.63, grundfos_1, 2398.0, 108,      29.63
"{""grundfos_1"": 2835.0}"                                                                        ,      240,      64.0 ,  58.33, grundfos_1, 2835.0, 240,      58.33
"{""grundfos_1"": 2344.0}"                                                                        ,       68,      64.03,  23.27, grundfos_1, 2344.0,  68,      23.27
{}                                                                                                ,      275,           ,       ,           ,       ,    ,        
"{""grundfos_1"": 2342.0}"                                                                        ,       66,      64.02,  22.99, grundfos_1, 2342.0,  66,      22.99
"{""grundfos_1"": 2417.0}"                                                                        ,      118,      64.01,  31.35, grundfos_1, 2417.0, 118,      31.35
"{""grundfos_1"": 2561.0}"                                                                        ,      172,      64.02,  41.53, grundfos_1, 2561.0, 172,      41.53
"{""grundfos_1"": 2503.0}"                                                                        ,      153,      64.06,  37.76, grundfos_1, 2503.0, 153,      37.76
"{""grundfos_1"": 2423.0}"                                                                        ,      121,      64.0 ,  31.86, grundfos_1, 2423.0, 121,      31.86
"{""grundfos_2"": 2294.0}"                                                                        ,        4,      64.04,  16.46, grundfos_2, 2294.0,   4,      16.46
"{""grundfos_1"": 2821.0}"                                                                        ,      237,      64.0 ,  57.47, grundfos_1, 2821.0, 237,      57.47
"{""grundfos_1"": 2745.0}"                                                                        ,      220,      64.03,  52.8 , grundfos_1, 2745.0, 220,      52.8
"{""grundfos_1"": 2388.0}"                                                                        ,      102,      64.02,  28.62, grundfos_1, 2388.0, 102,      28.62
"{""grundfos_3"": 2306.0}"                                                                        ,       20,      64.02,  17.68, grundfos_3, 2306.0,  20,      17.68
"{""grundfos_1"": 2374.0}"                                                                        ,       93,      64.01,  27.14, grundfos_1, 2374.0,  93,      27.14
"{""grundfos_1"": 2336.0}"                                                                        ,       59,      64.05,  22.02, grundfos_1, 2336.0,  59,      22.02
"{""grundfos_3"": 2313.0}"                                                                        ,       30,      64.01,  18.59, grundfos_3, 2313.0,  30,      18.59
"{""grundfos_1"": 2339.0}"                                                                        ,       63,      64.02,  22.56, grundfos_1, 2339.0,  63,      22.56
"{""grundfos_1"": 2736.0}"                                                                        ,      218,      64.0 ,  52.25, grundfos_1, 2736.0, 218,      52.25
"{""grundfos_1"": 2682.0}"                                                                        ,      205,      64.0 ,  48.97, grundfos_1, 2682.0, 205,      48.97
"{""grundfos_1"": 2874.0}"                                                                        ,      248,      64.07,  60.76, grundfos_1, 2874.0, 248,      60.76
"{""grundfos_1"": 2404.0}"                                                                        ,      111,      64.04,  30.16, grundfos_1, 2404.0, 111,      30.16
"{""grundfos_1"": 2662.0}"                                                                        ,      200,      64.0 ,  47.75, grundfos_1, 2662.0, 200,      47.75
"{""grundfos_3"": 2331.0}"                                                                        ,       54,      64.01,  21.34, grundfos_3, 2331.0,  54,      21.34
"{""grundfos_1"": 2958.0}"                                                                        ,      265,      64.01,  66.06, grundfos_1, 2958.0, 265,      66.06
"{""grundfos_1"": 2480.0}"                                                                        ,      145,      64.0 ,  36.2 , grundfos_1, 2480.0, 145,      36.2
"{""grundfos_1"": 2369.0}"                                                                        ,       89,      64.05,  26.51, grundfos_1, 2369.0,  89,      26.51
"{""grundfos_1"": 2491.0}"                                                                        ,      149,      64.01,  36.96, grundfos_1, 2491.0, 149,      36.96
"{""grundfos_1"": 2366.0}"                                                                        ,       87,      64.03,  26.18, grundfos_1, 2366.0,  87,      26.18
"{""grundfos_1"": 2430.0}"                                                                        ,      124,      64.04,  32.41, grundfos_1, 2430.0, 124,      32.41
"{""grundfos_1"": 2794.0}"                                                                        ,      231,      64.04,  55.8 , grundfos_1, 2794.0, 231,      55.8
"{""grundfos_1"": 2439.0}"                                                                        ,      128,      64.05,  33.13, grundfos_1, 2439.0, 128,      33.13
"{""grundfos_1"": 2826.0}"                                                                        ,      238,      64.03,  57.77, grundfos_1, 2826.0, 238,      57.77
"{""grundfos_1"": 2636.0}"                                                                        ,      193,      64.06,  46.16, grundfos_1, 2636.0, 193,      46.16
"{""grundfos_1"": 2763.0}"                                                                        ,      224,      64.07,  53.9 , grundfos_1, 2763.0, 224,      53.9
"{""grundfos_3"": 2332.0}"                                                                        ,       55,      64.02,  21.47, grundfos_3, 2332.0,  55,      21.47
"{""grundfos_1"": 2397.0}"                                                                        ,      107,      64.05,  29.48, grundfos_1, 2397.0, 107,      29.48
{}                                                                                                ,      273,           ,       ,           ,       ,    ,        
"{""grundfos_1"": 2606.0}"                                                                        ,      185,      64.03,  44.33, grundfos_1, 2606.0, 185,      44.33
"{""grundfos_3"": 2305.0}"                                                                        ,       19,      64.0 ,  17.59, grundfos_3, 2305.0,  19,      17.59
"{""grundfos_1"": 2918.0}"                                                                        ,      257,      64.05,  63.53, grundfos_1, 2918.0, 257,      63.53
"{""grundfos_1"": 2643.0}"                                                                        ,      195,      64.02,  46.59, grundfos_1, 2643.0, 195,      46.59
